epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,712.837,1.07023,1.50786,1.62009,1.28761,0,0.78616,0.69305,0.78131,0.53107,0.78131,0.68825,0.77674,0.50658,1.02545,1.08818,1.69311,1.37683,0,0.00066335,0.00066335,0.00066335
2,1370.93,1.19371,0.87473,1.34058,1.36645,0,0.67049,0.7458,0.75604,0.46914,0.6682,0.7458,0.75844,0.4655,1.19209,1.55445,1.71687,1.56263,0,0.00130368,0.00130368,0.00130368
